Forced Entries: The Downtown Diaries: 1971-1973::Carroll, Jim::literature::english::usa
The Basketball Diaries::Carroll, Jim::literature::english::usa
The Thirty-Nine Steps::Buchan, John::literature::english::england
The Contortionist's Handbook::Clevenger, Craig::literature::english::usa
Beloved::Morrison, Toni::literature::english::usa
Pynchon: A Collection of Critical Essays::Mendelson, Edward::lit crit::english::usa
Light in August::Faulkner, William::literature::english::usa
As I Lay Dying::Faulkner, William::literature::english::usa
The Sound and the Fury::Faulkner, William::literature::english::usa
Absalom, Absalom!::Faulkner, William::literature::english::usa
Ragtime::Doctorow, E.L.::literature::english::usa
The Scarlet Letter::Hawthorne, Nathaniel::literature::english::usa
Angle of Repose::Stegner, Wallace::literature::english::usa
A Hazard of New Fortunes::Howells, William Dean::literature::english::usa
McTeague::Norris, Frank::literature::english::usa
Looking Backward::Bellamy, Edward::literature::english::usa
Women::Bukowski, Charles::literature::english::usa
Factotum::Bukowski, Charles::literature::english::usa
Post Office::Bukowski, Charles::literature::english::usa
Hocus Pocus::Vonnegut, Kurt::literature::english::usa
A Scanner Darkly::Dick, Philip K.::sci fi::english::usa
Please Kill Me::McNeil, Legs::music::english::usa
The Name of the Rose::Eco, Umberto::literature::italian::italy
Killing Yourself to Live: 85% of a True Story::Klosterman, Chuck::music::english::usa
A Supposedly Fun Thing I'll Never Do Again::Wallace, David Foster::essays::english::usa
Fargo Rock City::Klosterman, Chuck::music::english::usa
Sex, Drugs, and Cocoa Puffs::Klosterman, Chuck::essays::english::usa
How Soon Is Never?::Spitz, Marc::literature::english::usa
White Noise::DeLillo, Don::literature::english::usa
The Portrait of a Lady::James, Henry::literature::english::usa
Frankenstein::Shelley, Mary::literature::english::england
Bartleby and Benito Cereno::Melville, Herman::literature::english::usa
Moby-Dick::Melville, Herman::literature::english::usa
Vineland::Pynchon, Thomas::literature::english::usa
Faust, Part I, Vol. 1::Goethe, Johann Wolfgang von::literature::german::germany
Death in Venice::Mann, Thomas::literature::german::germany
Less Than Zero::Ellis, Bret Easton::literature::english::usa
The Rules of Attraction::Ellis, Bret Easton::literature::english::usa
Hell's Angels: A Strange and Terrible Saga::Thompson, Hunter S.::non fiction::english::usa
The Great Shark Hunt::Thompson, Hunter S.::non fiction::english::usa
The Rum Diary::Thompson, Hunter S.::literature::english::usa
Fear and Loathing in Las Vegas::Thompson, Hunter S.::literature::english::usa
One Flew Over the Cuckoo's Nest::Kesey, Ken::literature::english::usa
Invisible Man::Ellison, Ralph::literature::english::usa
A Companion to The Crying of Lot 49::Grant, J. Kerry::lit crit::english::usa
The Crying of Lot 49::Pynchon, Thomas::literature::english::usa
On the Road::Kerouac, Jack::literature::english::usa
Tropic of Cancer::Miller, Henry::literature::english::usa
Quiet Days in Clichy::Miller, Henry::literature::english::usa
Big Sur::Kerouac, Jack::literature::english::usa
The Dharma Bums::Kerouac, Jack::literature::english::usa
Trout Fishing in America::Brautigan, Richard::literature::english::usa
Get in the Van: On the Road With Black Flag::Rollins, Henry::music::english::usa
The Voyage Out::Woolf, Virginia::literature::english::england
The Rainbow::Lawrence, D.H.::literature::english::england
Anthem::Rand, Ayn::literature::english::usa
Lucky Jim::Amis, Kingsley::literature::english::england
